iter	Passed	Remaining
937	3782	250
938	3786	245
939	3789	241
940	3793	237
941	3797	233
942	3800	229
943	3803	225
944	3806	221
945	3810	217
946	3814	213
947	3818	209
948	3821	205
949	3824	201
950	3828	197
951	3832	193
952	3835	189
953	3838	185
954	3841	181
955	3845	177
956	3848	172
957	3852	168
958	3855	164
959	3858	160
960	3862	156
961	3865	152
962	3869	148
963	3872	144
964	3875	140
965	3879	136
966	3883	132
967	3886	128
968	3890	124
969	3894	120
970	3900	116
971	3904	112
972	3908	108
973	3912	104
974	3915	100
975	3918	96
976	3922	92
977	3926	88
978	3930	84
979	3933	80
980	3936	76
981	3940	72
982	3944	68
983	3946	64
984	3949	60
985	3953	56
986	3956	52
987	3960	48
988	3963	44
989	3967	40
990	3970	36
991	3974	32
992	3977	28
993	3980	24
994	3983	20
995	3987	16
996	3991	12
997	3995	8
998	3998	4
999	4002	0
